anomaly_id,timestamp,url,capture_url,issue_type,description,severity,resolution_status,notes
anom_0001,20170318050947,https://www.kongregate.com/most-played-games,https://web.archive.org/web/20170318050947/http://www.kongregate.com/most-played-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20170318050947_http_www.kongregate.com_most-played-games_a6dc0e491602522d.html
anom_0002,20231221025233,https://www.kongregate.com/most-played-games,https://web.archive.org/web/20231221025233/https://www.kongregate.com/most-played-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20231221025233_https_www.kongregate.com_most-played-games_089ed92dbb5157b2.html
anom_0003,20080222160305,https://www.kongregate.com/action-games,https://web.archive.org/web/20080222160305/http://www.kongregate.com:80/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20080222160305_http_www.kongregate.com_80_action-games_05981415ac02d75f.html
anom_0004,20140502095907,https://www.kongregate.com/action-games,https://web.archive.org/web/20140502095907/http://www.kongregate.com/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20140502095907_http_www.kongregate.com_action-games_36286b2233568e7e.html
anom_0005,20160820213635,https://www.kongregate.com/action-games,https://web.archive.org/web/20160820213635/http://www.kongregate.com:80/action-games?,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20160820213635_http_www.kongregate.com_80_action-games_3d6255cebfcadbf8.html
anom_0006,20190810210827,https://www.kongregate.com/action-games,https://web.archive.org/web/20190810210827/http://www.kongregate.com/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20190810210827_http_www.kongregate.com_action-games_c4d27807ce1bf866.html
anom_0007,20260329033542,https://www.kongregate.com/action-games,https://web.archive.org/web/20260329033542/https://www.kongregate.com/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260329033542_https_www.kongregate.com_action-games_978edcbe4b3183d3.html
anom_0008,20251009013727,https://www.kongregate.com/en/action-games,https://web.archive.org/web/20251009013727/https://www.kongregate.com/en/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251009013727_https_www.kongregate.com_en_action-games_70bb41a51df81e2f.html
anom_0009,20251203171039,https://www.kongregate.com/en/action-games,https://web.archive.org/web/20251203171039/https://www.kongregate.com/en/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251203171039_https_www.kongregate.com_en_action-games_5e98be6c4ed3b598.html
anom_0010,20260405192842,https://www.kongregate.com/en/action-games,https://web.archive.org/web/20260405192842/https://www.kongregate.com/en/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260405192842_https_www.kongregate.com_en_action-games_900555f32b4c05b7.html
anom_0011,20260415230709,https://www.kongregate.com/en/action-games,https://web.archive.org/web/20260415230709/https://www.kongregate.com/en/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260415230709_https_www.kongregate.com_en_action-games_c830e2100134c513.html
anom_0012,20260514223244,https://www.kongregate.com/en/action-games,https://web.archive.org/web/20260514223244/https://www.kongregate.com/en/action-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260514223244_https_www.kongregate.com_en_action-games_fd4e6bb81c6dc036.html
anom_0013,20080222193232,https://www.kongregate.com/puzzle-games,https://web.archive.org/web/20080222193232/http://www.kongregate.com:80/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20080222193232_http_www.kongregate.com_80_puzzle-games_fe525b1fb2c1670a.html
anom_0014,20111118074024,https://www.kongregate.com/puzzle-games,https://web.archive.org/web/20111118074024/http://www.kongregate.com:80/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20111118074024_http_www.kongregate.com_80_puzzle-games_2b3c628144fbb0d4.html
anom_0015,20150103173122,https://www.kongregate.com/puzzle-games,https://web.archive.org/web/20150103173122/http://www.kongregate.com:80/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20150103173122_http_www.kongregate.com_80_puzzle-games_39b75a16c2651474.html
anom_0016,20160905025345,https://www.kongregate.com/puzzle-games,https://web.archive.org/web/20160905025345/http://www.kongregate.com:80/puzzle-games?,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20160905025345_http_www.kongregate.com_80_puzzle-games_63bedaf1e9025eb6.html
anom_0017,20260329032508,https://www.kongregate.com/puzzle-games,https://web.archive.org/web/20260329032508/https://www.kongregate.com/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260329032508_https_www.kongregate.com_puzzle-games_94d114902c5ce6b9.html
anom_0018,20251007101001,https://www.kongregate.com/en/puzzle-games,https://web.archive.org/web/20251007101001/http://www.kongregate.com/en/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251007101001_http_www.kongregate.com_en_puzzle-games_94b157dbc2e9544f.html
anom_0019,20251122092803,https://www.kongregate.com/en/puzzle-games,https://web.archive.org/web/20251122092803/https://www.kongregate.com/en/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20251122092803_https_www.kongregate.com_en_puzzle-games_2ccbffd3dd6620cd.html
anom_0020,20260408114734,https://www.kongregate.com/en/puzzle-games,https://web.archive.org/web/20260408114734/https://www.kongregate.com/en/puzzle-games,wayback_error,Raw capture returned empty or Wayback error content.,medium,open,data/raw/html/20260408114734_https_www.kongregate.com_en_puzzle-games_2911ce035b879cde.html
