rank,game_name,game_url,plays,last_observed_date,days_stale,source
1,Dawn of the Dragons,http://www.kongregate.com/games/5thPlanetGames/dawn-of-the-dragons,80027793,2026-06-29,0,live_metrics_json
2,Tyrant,http://www.kongregate.com/games/synapticon/tyrant,61045090,2026-06-29,0,live_metrics_json
3,Contract Wars,http://www.kongregate.com/games/tfender/contract-wars,61019792,2026-06-29,0,live_metrics_json
4,AdVenture Capitalist,http://www.kongregate.com/games/HyperHippoGames/adventure-capitalist,51199942,2026-06-29,0,live_metrics_json
5,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,47032433,2026-06-29,0,live_metrics_json
6,CS Portable,http://www.kongregate.com/games/CriticalForceEt/counter-strike-web-browser-based-port-v2,44326156,2026-06-29,0,live_metrics_json
7,Backyard Monsters,http://www.kongregate.com/games/KIXEYE/backyard-monsters,40156446,2026-06-29,0,live_metrics_json
8,Realm Grinder,http://www.kongregate.com/games/DivineGames/realm-grinder,35838737,2026-06-29,0,live_metrics_json
9,Bloons TD 5,http://www.kongregate.com/games/Ninjakiwi/bloons-td-5,35474050,2026-06-29,0,live_metrics_json
10,Clicker Heroes,http://www.kongregate.com/games/Playsaurus/clicker-heroes,34904712,2026-06-29,0,live_metrics_json
11,Game of Thrones Ascent,http://www.kongregate.com/games/DisruptorBeam/game-of-thrones-ascent,34612895,2026-06-29,0,live_metrics_json
12,Platform Racing 2,http://www.kongregate.com/games/Jiggmin/platform-racing-2,33546781,2026-06-29,0,live_metrics_json
