canonical_game_key,game_name,developer,game_url,best_rank,top_n_appearances,first_observed_date,likely_added_date,observed_categories,primary_genre,genre_tags,genre_confidence,engagement_tags,engagement_confidence,social_platform_status,social_platform_confidence,social_platform_signals,developer_group_key,developer_catalog_game_count,series_group_key,series_catalog_game_count,classification_confidence,classification_signals,review_status,taxonomy_version
www.kongregate.com/games/ironhidegames/kingdom-rush,Kingdom Rush,Ironhidegames,http://www.kongregate.com/games/Ironhidegames/kingdom-rush,1,1336,2011-12-24,2011-12-23,tower-defense; strategy; adventure; strategy-defense,tower_defense,adventure; strategy; tower_defense,high_observed_category,,none,not_assessed,none,,ironhidegames,2,,0,high,observed_category:tower_defense,ready,1.0.0
www.kongregate.com/games/ninjakiwi/bloons-td-5,Bloons TD 5,Ninjakiwi,http://www.kongregate.com/games/Ninjakiwi/bloons-td-5,1,1280,2012-08-25,2012-08-22,tower-defense; strategy; strategy-defense,tower_defense,strategy; tower_defense,high_observed_category,,none,not_assessed,none,,ninjakiwi,11,,0,high,observed_category:tower_defense,ready,1.0.0
www.kongregate.com/games/light_bringer777/learn-to-fly-2,Learn to Fly 2,light_bringer777,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,1,1176,2011-06-18,2011-06-16,strategy; sports-racing,sports_racing,sports_racing; strategy,high_observed_category,,none,not_assessed,none,,light-bringer777,4,light-bringer777:learn-to-fly,3,high,observed_category:sports_racing; same_developer_series_stem,ready,1.0.0
www.kongregate.com/games/ninjakiwi/sas-zombie-assault-4,SAS: Zombie Assault 4,Ninjakiwi,http://www.kongregate.com/games/Ninjakiwi/sas-zombie-assault-4,1,1082,2014-08-15,2014-08-15,shooter,shooter,shooter,high_observed_category,,none,not_assessed,none,,ninjakiwi,11,ninjakiwi:sas-zombie-assault,2,high,observed_category:shooter; same_developer_series_stem,ready,1.0.0
www.kongregate.com/games/0rava/mutilate-a-doll-2,Mutilate-a-Doll 2,0rava,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,1,968,2014-12-17,2014-12-17,more,other,other,high_observed_category,,none,not_assessed,none,,0rava,3,0rava:mutilate-a-doll,2,high,observed_category:other; same_developer_series_stem,ready,1.0.0
www.kongregate.com/games/dustinaux/the-enchanted-cave-2,The Enchanted Cave 2,DustinAux,http://www.kongregate.com/games/DustinAux/the-enchanted-cave-2,1,949,2015-02-07,2015-02-07,adventure; adventure-rpg,role_playing,adventure; role_playing,high_observed_category,,none,not_assessed,none,,dustinaux,2,dustinaux:the-enchanted-cave,2,high,observed_category:role_playing; same_developer_series_stem,ready,1.0.0
www.kongregate.com/games/soulgame/swords-and-souls,Swords and Souls,SoulGame,https://www.kongregate.com/games/SoulGame/swords-and-souls,1,904,2015-10-29,2015-10-29,adventure-rpg,role_playing,role_playing,high_observed_category,,none,not_assessed,none,,soulgame,2,,0,high,observed_category:role_playing,ready,1.0.0
www.kongregate.com/games/juppiomenz/bit-heroes,Bit Heroes,Juppiomenz,https://www.kongregate.com/games/Juppiomenz/bit-heroes,1,608,2017-02-15,2016-08-04,adventure-rpg; mmo,role_playing,role_playing,high_observed_category,massively_multiplayer,high_observed_category,not_assessed,none,,juppiomenz,1,,0,high,observed_category:role_playing; observed_category:mmo,ready,1.0.0
www.kongregate.com/games/somethingggg/ngu-idle,NGU IDLE,somethingggg,https://www.kongregate.com/games/somethingggg/ngu-idle,1,598,2018-05-04,2017-10-31,idle; adventure,idle_incremental,adventure; idle_incremental,high_observed_category,idle_progression,high_observed_category,not_assessed,none,,somethingggg,1,,0,high,observed_category:idle_incremental; observed_category:idle,ready,1.0.0
www.kongregate.com/games/kurechii/the-kings-league-odyssey,The King's League: Odyssey,kurechii,http://www.kongregate.com/games/kurechii/the-kings-league-odyssey,1,582,2013-05-10,2013-04-01,strategy; strategy-defense,strategy,strategy,high_observed_category,,none,not_assessed,none,,kurechii,1,,0,high,observed_category:strategy,ready,1.0.0
www.kongregate.com/games/kupo707/epic-battle-fantasy-4,Epic Battle Fantasy 4,kupo707,http://www.kongregate.com/games/kupo707/epic-battle-fantasy-4,1,526,2013-03-07,2013-03-07,adventure; strategy; adventure-rpg,role_playing,adventure; role_playing; strategy,high_observed_category,,none,not_assessed,none,,kupo707,6,kupo707:epic-battle-fantasy,3,high,observed_category:role_playing; same_developer_series_stem,ready,1.0.0
www.kongregate.com/games/freerangegames/freefall-tournament,Freefall Tournament,freerangegames,http://www.kongregate.com/games/freerangegames/freefall-tournament,1,522,2012-06-15,2012-04-24,shooter,shooter,shooter,high_observed_category,,none,not_assessed,none,,freerangegames,1,,0,high,observed_category:shooter,ready,1.0.0
www.kongregate.com/games/tfender/contract-wars,Contract Wars,tfender,http://www.kongregate.com/games/tfender/contract-wars,1,470,2013-07-24,2013-07-24,shooter,shooter,shooter,high_observed_category,,none,not_assessed,none,,tfender,1,,0,high,observed_category:shooter,ready,1.0.0
www.kongregate.com/games/iriysoft/cursed-treasure-dont-touch-my-gems,Cursed Treasure: Don't...,IriySoft,http://www.kongregate.com/games/IriySoft/cursed-treasure-dont-touch-my-gems,1,464,2010-06-20,2010-05-06,tower-defense; strategy; strategy-defense,tower_defense,strategy; tower_defense,high_observed_category,,none,not_assessed,none,,iriysoft,7,,0,high,observed_category:tower_defense,ready,1.0.0
