signature_id,era_start_estimate,era_end_estimate,sample_capture_url,dom_markers,css_markers,js_markers,ranking_container_selector,game_card_selector,title_selector,rating_selector,plays_selector,pagination_selector,parser_status,confidence,notes
sig_001,20060626224645,20091114092128,https://web.archive.org/web/20060626224645/http://kongregate.com:80/,"browse,game",,http://www.google-analytics.com/urchin.js,,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title 'kongregate.com  ' with 0 game links.
sig_002,20110206141034,20111231075240,https://web.archive.org/web/20111231075240/http://www.kongregate.com:80/games?sort=newest,"browse,game,game_browser,pagination,plays,rating,sort",,"http://cdn2.kongregate.com/javascripts/sitewide_javascripts.js?1324512375,http://www.googletagservices.com/tag/js/gpt.js,http://www.googletagservices.com/tag/js/gpt.js,http://www.googletagservices.com/tag/js/gpt.js",,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title 'Kongregate: Play free games online' with 15 game links.
sig_003,20120115042321,20120701152357,https://web.archive.org/web/20120701152357/http://www.kongregate.com:80/games?,"browse,game,game_browser,pagination,plays,rating,sort",,"http://cdn1.kongregate.com/javascripts/sitewide_javascripts.js?1340905776,http://www.googletagservices.com/tag/js/gpt.js,http://www.googletagservices.com/tag/js/gpt.js,http://www.googletagservices.com/tag/js/gpt.js,https://d1ros97qkrwjf5.cloudfront.net/39/eum/rum.js",,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title 'Kongregate: Play free games online' with 15 game links.
sig_004,20130411022654,20130411022654,https://web.archive.org/web/20130411022654/http://www.kongregate.com/games?sort=newest,"browse,game,game_browser,pagination,plays,rating,sort","http://cdn2.kongcdn.com/stylesheets/fineuploader.css?1365633129,http://cdn4.kongcdn.com/tr8n/stylesheets/tr8n.css,http://cdn1.kongcdn.com/tr8n/stylesheets/keyboard_1_36.css","http://cdn4.kongcdn.com/javascripts/sitewide_javascripts.js?1365633188,http://www.googletagservices.com/tag/js/gpt.js,http://cdn3.kongcdn.com/tr8n/javascripts/tr8n.js,http://cdn1.kongcdn.com/tr8n/javascripts/keyboard_1_36.js,http://cdn4.kongcdn.com/tr8n/javascripts/shortcut.js,http://cdn2.kongcdn.com/tr8n/javascripts/tr8n_client_sdk.js,http://www.googletagservices.com/tag/js/gpt.js,http://www.googletagservices.com/tag/js/gpt.js",,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title 'Kongregate: Play free games online' with 15 game links.
sig_005,20140502095907,20141003214402,https://web.archive.org/web/20140926213031/http://www.kongregate.com/games?sort=rating,"browse,game,game_browser,pagination,plays,rating,sort","http://cdn3.kongcdn.com/compiled-assets/application_merged-4bcfa8d2068a29ac3862a910dd1a3ba7.css,http://cdn3.kongcdn.com/compiled-assets/application_merged-4bcfa8d2068a29ac3862a910dd1a3ba7.css,http://cdn4.kongcdn.com/compiled-assets/sitewide-8fbfad2521b195cbc87f9bcf8cc4ac0b.css,http://cdn3.kongcdn.com/compiled-assets/application-f8f61fe53ccf4d22645cf567487d8b5b.css,http://cdn3.kongcdn.com/compiled-assets/ie6-6704c82a78789037702fc5b41108c805.css,http://cdn2.kongcdn.com/compiled-assets/ie8-e68f589e0251a3974d5ab84d05eddbef.css,http://cdn2.kongcdn.com/compiled-assets/tr8n/keyboard_1_49-48449133ca74d2c1e4fc4b3c0816bef2.css,http://cdn2.kongcdn.com/compiled-assets/tr8n/tr8n-bbf50194981e7ea8d0fba405dd8d625d.css","http://cdn4.kongcdn.com/compiled-assets/sitewide_javascripts-9681c2d4a071144f832ba221c9eeb2c5.js,http://www.googletagservices.com/tag/js/gpt.js,http://cdn4.kongcdn.com/compiled-assets/tr8n/tr8n-compiled-a7a03ba818e1255e5b0ed31e794c7da6.js,/tr8n/api/v1/language/translate.js?cache=true&sdk_jsvar=tr8nProxy&source=application%2FJS&t=1411559843,http://www.googletagservices.com/tag/js/gpt.js,http://www.googletagservices.com/tag/js/gpt.js",,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title 'Kongregate: Play free games online' with 17 game links.
sig_006,20150103173122,20150904085012,https://web.archive.org/web/20150904085012/http://www.kongregate.com:80/top-rated-games,"browse,game,game_browser,pagination,plays,rating,sort","https://cdn2.kongcdn.com/compiled-assets/application_merged-8e79fe9831264f0d616a3acca01cf0d4.css,https://cdn2.kongcdn.com/compiled-assets/application_merged-8e79fe9831264f0d616a3acca01cf0d4.css,https://cdn4.kongcdn.com/compiled-assets/sitewide-17c72032dd567483818a965aeaa466a0.css,https://cdn3.kongcdn.com/compiled-assets/application-32dfbf0f85975e69e183564941ac6fda.css,https://cdn3.kongcdn.com/compiled-assets/ie6-cc73b17e3f6fcf4bb526a3f521690f18.css,https://cdn3.kongcdn.com/compiled-assets/ie8-07b05105b998e44ca02981ceda878c66.css,https://cdn4.kongcdn.com/compiled-assets/tr8n/keyboard_1_49-a109b3e72638a0b20fe26e65de0748c4.css,https://cdn3.kongcdn.com/compiled-assets/tr8n/tr8n-8fdc1e6c14a302d5e90631ae3b943c6b.css","https://cdn4.kongcdn.com/compiled-assets/sitewide_javascripts-b01c14283790982c4d9772cf313fd188.js,http://www.googletagservices.com/tag/js/gpt.js,https://cdn1.kongcdn.com/compiled-assets/tr8n/tr8n-compiled-79f705b522a3f529894038e0b26d88bd.js,/tr8n/api/v1/language/translate.js?cache=true&sdk_jsvar=tr8nProxy&source=application%2FJS&t=1437215675,http://www.googletagservices.com/tag/js/gpt.js,http://www.googletagservices.com/tag/js/gpt.js",,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title 'Kongregate: Play free games online' with 17 game links.
sig_007,20160303052055,20161229042555,https://web.archive.org/web/20160306081415/http://www.kongregate.com:80/games,"browse,game,game_browser,pagination,plays,rating,sort","https://cdn1.kongcdn.com/compiled-assets/application_merged-b01b87188063d2696c9031787c9e1883.css,https://cdn1.kongcdn.com/compiled-assets/application_merged-b01b87188063d2696c9031787c9e1883.css,https://cdn4.kongcdn.com/compiled-assets/sitewide-5d694271d3a5eac9d0c03951bd11fa10.css,https://cdn2.kongcdn.com/compiled-assets/application-eb9e142af8fc03698ac5378a7c84dfce.css,https://cdn3.kongcdn.com/compiled-assets/ie6-cc73b17e3f6fcf4bb526a3f521690f18.css,https://cdn3.kongcdn.com/compiled-assets/ie8-07b05105b998e44ca02981ceda878c66.css,https://cdn4.kongcdn.com/compiled-assets/tr8n/keyboard_1_49-a109b3e72638a0b20fe26e65de0748c4.css,https://cdn3.kongcdn.com/compiled-assets/tr8n/tr8n-8fdc1e6c14a302d5e90631ae3b943c6b.css","https://cdn1.kongcdn.com/compiled-assets/sitewide_javascripts-27c8d5a4a6d4bbe6139ac9731040f1cb.js,http://www.googletagservices.com/tag/js/gpt.js,https://cdn1.kongcdn.com/compiled-assets/tr8n/tr8n-compiled-79f705b522a3f529894038e0b26d88bd.js,/tr8n/api/v1/language/translate.js?cache=true&sdk_jsvar=tr8nProxy&source=application%2FJS&t=1454125610,http://www.googletagservices.com/tag/js/gpt.js,http://www.googletagservices.com/tag/js/gpt.js",,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title 'Kongregate: Play free games online' with 17 game links.
sig_008,20170112053145,20171025151756,https://web.archive.org/web/20170318050947/http://www.kongregate.com/most-played-games,,,,,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title '' with 0 game links.
sig_009,20190108204612,20190922193842,https://web.archive.org/web/20190108210318/http://www.kongregate.com/games,"browse,game,game_browser,pagination,plays,rating,sort","https://cdn4.kongcdn.com/compiled-assets/application_merged-290cdccd061544d0caf71c5f521f76ad.css,https://cdn4.kongcdn.com/compiled-assets/application_merged-290cdccd061544d0caf71c5f521f76ad.css,https://cdn2.kongcdn.com/compiled-assets/sitewide-68bde8f202e01cc096e14318c179d61c.css,https://cdn4.kongcdn.com/compiled-assets/application-0d3008901d051d138671bc4f1d871059.css,https://cdn1.kongcdn.com/compiled-assets/ie6-2a7a7df4b8b24622966abb288e6e6697.css,https://cdn4.kongcdn.com/compiled-assets/ie8-d6d431cf0b44bb1c07aea11481e94252.css,https://cdn2.kongcdn.com/compiled-assets/tr8n/keyboard_1_49-b99e25817e09404c6b674c4c2cdbc720.css,https://cdn1.kongcdn.com/compiled-assets/tr8n/tr8n-30eaa877e69a8ba56ebf76de4b6060bd.css","https://js-sec.indexww.com/ht/p/186080-85072989693750.js,https://cdn2.kongcdn.com/compiled-assets/sitewide_javascripts-73cacd451f54f9ace8201396ec0c40af.js,https://www.googletagservices.com/tag/js/gpt.js,https://cdn4.kongcdn.com/compiled-assets/tr8n/tr8n-compiled-35f673b5833accdaba92b8a554ae1a61.js,/tr8n/api/v1/language/translate.js?cache=true&sdk_jsvar=tr8nProxy&source=application%2FJS&t=1533743896,https://www.googletagservices.com/tag/js/gpt.js,https://www.googletagservices.com/tag/js/gpt.js,//get.s-onetag.com/a016d5b9-e250-4037-a13c-d8384aa31127/tag.min.js",,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title 'Kongregate: Play free games online' with 17 game links.
sig_010,20200429124610,20200722172659,https://web.archive.org/web/20200429124610/https://www.kongregate.com/,"browse,browse_game,game,game_browser,plays,rating,sort","https://cdn1.kongcdn.com/compiled-assets/application_merged-98d47496626fecbb3766f8bf97135dd281e9e664ae266efdce4c5c91842dd4e6.css,https://cdn1.kongcdn.com/compiled-assets/application_merged-98d47496626fecbb3766f8bf97135dd281e9e664ae266efdce4c5c91842dd4e6.css,https://cdn3.kongcdn.com/compiled-assets/sitewide-ec49f870d2581780869a161e14f08c7511ced37132463d95c908b7e15431d871.css,https://cdn1.kongcdn.com/compiled-assets/application-d75ae38e91dcc4c19e9092819e7ebb361dd7bc6a6d2b17335ee2d34a4c79729d.css,https://cdn1.kongcdn.com/compiled-assets/ie6-69e0da91398e99c0c07c7ee594b7d745f51349bb9ab7c9d42dc7d22cf901ed39.css,https://cdn2.kongcdn.com/compiled-assets/ie8-fd1f79b5dc54bf6786b49b719510c8841a0cc21e9b9ac0a0bf620b4629f5068f.css,https://cdn4.kongcdn.com/compiled-assets/tr8n/keyboard_1_49-08ee974dd9465658bdbf650a99eefbe30ce3c624ff4a61e27e1a54557b008526.css,https://cdn1.kongcdn.com/compiled-assets/tr8n/tr8n-21a794aa55c7212d8984dcd2f14956f91a5b9f7bff12811bfc85c9d8a31c4496.css","https://js-sec.indexww.com/ht/p/186080-85072989693750.js,https://cdn4.kongcdn.com/compiled-assets/sitewide_javascripts-a2ce0782e47ef12c75e8b3fe96041de67a0c0fcfa535adcbe77e342f259818c8.js,https://www.googletagservices.com/tag/js/gpt.js,https://tagan.adlightning.com/kongregate/op.js,https://cdn2.kongcdn.com/compiled-assets/tr8n/tr8n-compiled-f9a4c30b5360844bde0c01666271af150576fb9ed69312f8de2194630c33114a.js,/tr8n/api/v1/language/translate.js?cache=true&sdk_jsvar=tr8nProxy&source=application%2FJS&t=1574527177,https://www.googleadservices.com/pagead/conversion.js,https://platform.twitter.com/widgets.js",,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title 'Kongregate: Play free games online' with 83 game links.
sig_011,20210127045335,20210127045335,https://web.archive.org/web/20210127045335/https://www.kongregate.com/,"browse,browse_game,game,game_browser,plays,rating,sort","https://cdn3.kongcdn.com/compiled-assets/application_merged-0011dd6c83295dcbda466957bf54e8a5ff8fe047bf2aa372795de67f547a1b2a.css,https://cdn3.kongcdn.com/compiled-assets/application_merged-0011dd6c83295dcbda466957bf54e8a5ff8fe047bf2aa372795de67f547a1b2a.css,https://cdn3.kongcdn.com/compiled-assets/sitewide-56296fc85f366282166439bc4f4e063eb5a457de8cc80db1ca1214565a8f5195.css,https://cdn4.kongcdn.com/compiled-assets/application-f85e9231e28edc2e9e40cf79120f615fa51b4c6ae33ef35844f03d5fbf9ed1cd.css,https://cdn1.kongcdn.com/compiled-assets/ie6-69e0da91398e99c0c07c7ee594b7d745f51349bb9ab7c9d42dc7d22cf901ed39.css,https://cdn2.kongcdn.com/compiled-assets/ie8-fd1f79b5dc54bf6786b49b719510c8841a0cc21e9b9ac0a0bf620b4629f5068f.css,https://cdn4.kongcdn.com/compiled-assets/tr8n/keyboard_1_49-08ee974dd9465658bdbf650a99eefbe30ce3c624ff4a61e27e1a54557b008526.css,https://cdn1.kongcdn.com/compiled-assets/tr8n/tr8n-21a794aa55c7212d8984dcd2f14956f91a5b9f7bff12811bfc85c9d8a31c4496.css","https://js-sec.indexww.com/ht/p/186080-85072989693750.js,https://cdn4.kongcdn.com/compiled-assets/modal/modal_service_javascripts-5a7c1920d039d700fb600f1acb832247a7571754e918afd0496a425065ff6c45.js,https://cdn1.kongcdn.com/compiled-assets/sitewide_javascripts-eba38e557ded7d262343aae4bc38d54cbe54ea824f9ec693e2f26ff4afa5ad0c.js,https://www.googletagservices.com/tag/js/gpt.js,https://tagan.adlightning.com/kongregate/op.js,https://cdn2.kongcdn.com/compiled-assets/tr8n/tr8n-compiled-f9a4c30b5360844bde0c01666271af150576fb9ed69312f8de2194630c33114a.js,/tr8n/api/v1/language/translate.js?cache=true&sdk_jsvar=tr8nProxy&source=application%2FJS&t=1592588552,https://www.googleadservices.com/pagead/conversion.js",,a[href*='/games/'],a[href*='/games/'],text/regex: rating|rated|stars,text/regex: plays|played,text/regex: pagination|next|previous; a[href*='page='],candidate,low,Pilot signature from title 'Kongregate: Play free games online' with 84 game links.
