status,followup_tier,game_name,game_url,canonical_game_key,best_rank,top_n_appearances,listing_play_count_rows,needs_game_page_history,first_seen_date,last_seen_date,cached_cdx_variants,unique_cdx_rows,parsed_page_rows,failed_page_rows,no_explicit_count_failures,network_or_fetch_failures,dynamic_metric_placeholder_pages,game_metrics_updater_pages,blank_gameplays_count_pages,metrics_json_probe_observations,metrics_json_cdx_rows,alternate_endpoint_cdx_rows,recommended_next_action
dynamic_metrics_placeholder,1,The Gates of Heaven,http://www.kongregate.com/games/EmperorMason/the-gates-of-heaven,www.kongregate.com/games/emperormason/the-gates-of-heaven,1,2,0,yes,2014-09-26,2014-09-26,3,1,0,1,1,0,1,1,1,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,Mu Complex : Episode One,http://www.kongregate.com/games/StudioCime/mu-complex-episode-one,www.kongregate.com/games/studiocime/mu-complex-episode-one,1,20,0,yes,2014-11-11,2015-10-03,3,56,0,20,14,6,14,14,14,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,The Enchanted Cave 2,http://www.kongregate.com/games/DustinAux/the-enchanted-cave-2,www.kongregate.com/games/dustinaux/the-enchanted-cave-2,1,949,0,yes,2015-02-07,2015-09-15,2,72,0,20,19,1,19,19,19,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,Swarm Simulator,https://www.kongregate.com/games/swarmsim/swarm-simulator,www.kongregate.com/games/swarmsim/swarm-simulator,1,192,17,yes,2015-02-23,2017-06-24,1,304,0,120,35,85,35,35,35,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,Mu Complex : Episode Two,http://www.kongregate.com/games/StudioCime/mu-complex-episode-two,www.kongregate.com/games/studiocime/mu-complex-episode-two,1,3,0,yes,2015-05-12,2015-10-03,2,27,0,27,15,12,15,15,15,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,Crusaders of the Lost Idols,https://www.kongregate.com/games/Codename_Enter/crusaders-of-the-lost-idols,www.kongregate.com/games/codename_enter/crusaders-of-the-lost-idols,1,173,0,yes,2015-08-09,2017-11-08,3,504,0,20,18,2,18,18,18,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,Swords and Souls,https://www.kongregate.com/games/SoulGame/swords-and-souls,www.kongregate.com/games/soulgame/swords-and-souls,1,904,0,yes,2015-10-29,2015-11-17,3,73,0,30,16,14,16,16,16,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,There is no game,https://www.kongregate.com/games/KaMiZoTo_Creator/there-is-no-game,www.kongregate.com/games/kamizoto_creator/there-is-no-game,1,97,13,yes,2016-03-07,2017-03-18,3,176,0,30,17,13,17,17,17,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,SuperBall Idle,http://www.kongregate.com/games/joao8991/superball-idle,www.kongregate.com/games/joao8991/superball-idle,1,1,0,yes,2016-03-24,2016-03-24,2,1,0,1,1,0,1,1,1,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,Cosmos Quest,https://www.kongregate.com/games/GaiaByte/cosmos-quest,www.kongregate.com/games/gaiabyte/cosmos-quest,1,74,17,yes,2017-03-04,2017-06-24,1,125,0,12,11,1,11,11,11,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,Unpuzzle 2,https://www.kongregate.com/games/KekGames/unpuzzle-2,www.kongregate.com/games/kekgames/unpuzzle-2,1,43,0,yes,2018-03-10,2019-05-26,3,17,0,17,13,4,13,13,13,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,Medieval Chronicles 4,https://www.kongregate.com/games/VasantJ/medieval-chronicles-4,www.kongregate.com/games/vasantj/medieval-chronicles-4,1,11,0,yes,2019-05-06,2019-07-18,3,14,0,14,13,1,13,13,13,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
dynamic_metrics_placeholder,1,Escape Game - Computer Office Escape,https://www.kongregate.com/games/masasgames/escape-game-computer-office-escape,www.kongregate.com/games/masasgames/escape-game-computer-office-escape,1,157,13,yes,2020-06-02,2020-06-20,2,17,0,17,14,3,14,14,14,0,0,0,Probe exact archived metrics.json endpoints; cached HTML defers counts to JavaScript-injected metrics.
not_checked,1,Pou Popper,http://www.kongregate.com/games/botsgames/pou-popper,www.kongregate.com/games/botsgames/pou-popper,1,1,0,yes,2014-08-08,2014-08-08,0,0,0,0,0,0,0,0,0,0,0,0,Run a bounded page-history CDX shard for this game.
not_checked,1,Wheelie Legend,http://www.kongregate.com/games/colburt187/wheelie-legend,www.kongregate.com/games/colburt187/wheelie-legend,1,1,0,yes,2014-08-22,2014-08-22,0,0,0,0,0,0,0,0,0,0,0,0,Run a bounded page-history CDX shard for this game.
not_checked,1,Battle Of Heroes,http://www.kongregate.com/games/Andrew_Nyers/battle-of-heroes,www.kongregate.com/games/andrew_nyers/battle-of-heroes,1,1,0,yes,2014-08-26,2014-08-26,0,0,0,0,0,0,0,0,0,0,0,0,Run a bounded page-history CDX shard for this game.
not_checked,1,Jellydad Hero,http://www.kongregate.com/games/PITon_/jellydad-hero,www.kongregate.com/games/piton_/jellydad-hero,1,1,0,yes,2014-08-29,2014-08-29,0,0,0,0,0,0,0,0,0,0,0,0,Run a bounded page-history CDX shard for this game.
not_checked,1,Alexia Crow and the pandora's box,http://www.kongregate.com/games/josepho/alexia-crow-and-the-pandoras-box,www.kongregate.com/games/josepho/alexia-crow-and-the-pandoras-box,1,1,0,yes,2014-09-05,2014-09-05,0,0,0,0,0,0,0,0,0,0,0,0,Run a bounded page-history CDX shard for this game.
