priority_rank,recovery_priority_score,recovery_class,recommended_recovery_track,canonical_game_key,game_name,developer,game_url,in_mini_catalog,missing_rank_rows,rank1_missing_rows,top5_missing_rows,top10_missing_rows,top20_missing_rows,best_missing_rank,first_missing_rank_date,last_missing_rank_date,missing_rank_span_days,ranking_types_with_missing,categories_with_missing,sample_missing_dates,has_any_observed_play_count,first_observed_play_count_date,first_observed_play_count,first_observed_play_count_source,first_observed_after_first_missing_days,first_observed_after_last_missing_days,latest_observed_play_count_date,latest_observed_play_count,missing_rows_on_or_after_first_observation,catalog_first_seen_date,catalog_last_seen_date,catalog_best_rank,catalog_top_n_appearances,catalog_listing_play_count_rows,catalog_max_listing_play_count_observed,metrics_status,metrics_rows,first_metric_date,last_metric_date,no_history_evidence_bucket,page_gap_status,count_source_probe_status,alternate_endpoint_cdx_rows,endpoint_observations,candidates_with_cdx_rows,recovered_count_rows,current_live_metric_status,observed_categories,platform_flags,classification_confidence
1,40665,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/tacticsoft/supermechs,Supermechs,Tacticsoft,http://www.kongregate.com/games/Tacticsoft/supermechs,yes,274,0,67,207,274,2,2016-06-05,2018-11-25,903,browse (188); top_rated (68); category_top (18),strategy (14); shooter (4),2016-06-05; 2016-06-06; 2016-06-08; 2016-06-09; 2016-06-09; 2016-06-09; 2016-06-10; 2016-06-10,yes,2018-12-17,3398196,count_source_probe,925,22,2024-01-21,4441454,0,2016-06-05,2024-02-14,2,391,0,,has_metrics,20,2018-12-17,2024-01-21,,,,,,,,,,,
2,38925,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/ninjakiwi/bloons-monkey-city,Bloons Monkey City,Ninjakiwi,https://www.kongregate.com/games/Ninjakiwi/bloons-monkey-city,yes,530,0,78,137,530,4,2014-11-25,2018-01-10,1142,browse (284); top_rated (120); category_top (67); homepage_module (34); most_played (25),tower-defense (39); strategy (28),2014-11-25; 2014-12-02; 2014-12-17; 2014-12-17; 2014-12-21; 2014-12-27; 2014-12-27; 2014-12-29,yes,2018-02-21,12681018,count_source_probe,1184,42,2025-07-14,14742266,0,2014-11-25,2024-02-14,4,1109,0,,has_metrics,28,2018-02-21,2025-07-14,,,,,,,,,,,
3,28000,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/codename_enter/crusaders-of-the-lost-idols,Crusaders of the Lost Idols,Codename_Enter,https://www.kongregate.com/games/Codename_Enter/crusaders-of-the-lost-idols,yes,70,9,46,63,70,1,2015-08-09,2017-11-08,822,most_played (38); category_top (26); top_rated (6),idle (22); strategy (4),2015-08-09; 2015-08-14; 2015-08-17; 2015-08-17; 2015-08-19; 2015-08-23; 2015-08-25; 2015-08-26,yes,2018-04-19,17651487,count_source_probe,984,162,2024-01-20,23393475,0,2015-08-09,2023-11-29,1,173,0,,has_metrics,16,2018-04-19,2024-01-20,,,,,,,,,,,
4,25700,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/studiocime/mu-complex-episode-one,Mu Complex : Episode One,StudioCime,http://www.kongregate.com/games/StudioCime/mu-complex-episode-one,yes,20,18,20,20,20,1,2014-11-11,2015-10-03,326,category_top (20),puzzle (20),2014-11-11; 2014-12-02; 2014-12-17; 2014-12-27; 2014-12-30; 2015-01-01; 2015-01-03; 2015-01-08,yes,2018-04-15,641755,count_source_probe,1251,925,2018-04-15,641755,0,2014-11-11,2015-10-03,1,20,0,,has_metrics,2,2018-04-15,2018-04-15,,,,,,,,,,,
5,17900,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/kamizoto_creator/there-is-no-game,There is no game,KaMiZoTo_Creator,https://www.kongregate.com/games/KaMiZoTo_Creator/there-is-no-game,yes,15,12,15,15,15,1,2016-03-07,2017-03-18,376,category_top (14); newest (1),puzzle (14),2016-03-07; 2016-04-05; 2016-04-06; 2016-04-07; 2016-04-12; 2016-09-05; 2016-11-07; 2016-11-08,yes,2017-03-29,743305,count_source_probe,387,11,2026-07-04,1400000,0,2016-03-07,2026-07-04,1,99,15,1400000,has_metrics,22,2017-03-29,2024-09-24,,,,,,,,,,,
6,17090,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/gaiabyte/cosmos-quest,Cosmos Quest,GaiaByte,https://www.kongregate.com/games/GaiaByte/cosmos-quest,yes,19,10,18,19,19,1,2017-03-04,2017-06-24,112,most_played (19),,2017-03-04; 2017-03-11; 2017-03-18; 2017-04-01; 2017-04-15; 2017-05-06; 2017-05-07; 2017-05-18,yes,2017-09-04,4947705,count_source_probe,184,72,2026-07-04,13500000,0,2017-03-04,2026-07-04,1,76,19,13500000,has_metrics,11,2017-09-04,2026-04-25,,,,,,,,,,,
7,9590,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/dustinaux/the-enchanted-cave-2,The Enchanted Cave 2,DustinAux,http://www.kongregate.com/games/DustinAux/the-enchanted-cave-2,yes,39,4,4,37,39,1,2015-02-07,2015-09-15,220,top_rated (17); browse (13); most_played (5); category_top (4),adventure (4),2015-02-07; 2015-02-07; 2015-02-15; 2015-02-15; 2015-02-23; 2015-03-01; 2015-03-13; 2015-04-01,yes,2015-09-18,1545521,count_source_probe,223,3,2025-05-31,3925064,0,2015-02-07,2024-02-14,1,949,0,,has_metrics,37,2015-09-18,2025-05-31,,,,,,,,,,,
8,9395,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/rumblegames/kingsroad,KingsRoad,RumbleGames,http://www.kongregate.com/games/RumbleGames/kingsroad,yes,27,0,24,27,27,4,2014-12-27,2019-10-22,1760,category_top (27),adventure (27),2014-12-27; 2014-12-30; 2015-02-15; 2015-02-15; 2015-04-01; 2015-04-03; 2016-07-27; 2016-08-09,yes,2021-03-18,5667526,count_source_probe,2273,513,2021-03-18,5667526,0,2014-12-27,2019-10-22,4,27,0,,has_metrics,2,2021-03-18,2021-03-18,,,,,,,,,,,
9,8590,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/blockadeboss/blockade3d,Blockade3D,blockadeboss,https://www.kongregate.com/games/blockadeboss/blockade3d,yes,24,0,22,24,24,3,2016-08-17,2019-03-02,927,category_top (24),shooter (24),2016-08-17; 2016-11-07; 2016-11-14; 2017-01-05; 2017-01-12; 2017-01-13; 2017-01-21; 2017-03-04,yes,2019-03-28,535039,count_source_probe,953,26,2026-07-04,668800,0,2016-08-17,2026-07-04,1,142,22,668800,has_metrics,10,2019-03-28,2025-03-30,,,,,,,,,,,
10,7865,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/trbw001/superfighters,Superfighters,TRBW001,https://www.kongregate.com/games/TRBW001/superfighters,yes,69,0,0,69,69,10,2018-06-25,2022-02-08,1324,category_top (69),action (69),2018-06-25; 2019-01-08; 2019-01-08; 2019-01-15; 2019-01-16; 2019-01-16; 2019-02-01; 2019-02-01,yes,2022-03-19,264900,count_source_probe,1363,39,2022-03-19,264900,0,2018-06-25,2023-11-25,10,97,0,,has_metrics,2,2022-03-19,2022-03-19,,,,,,,,,,,
