date,game_name,rank_on_date,ranking_type,ranking_basis,plays_count_observed,plays_rank_within_capture,plays_rank_scope,category,source_url,capture_timestamp,capture_url,game_url,developer,rating_text,plays_text,parser,confidence,notes
2007-01-20,Warbears,1,browse,page_order_browse_default,2315,2,visible_games_in_same_capture,,http://www.kongregate.com:80/games,20070120035144,https://web.archive.org/web/20070120035144/http://www.kongregate.com:80/games,http://www.kongregate.com/games/ioji/warbears,ioji,Currently 4.6/5 Stars.,2315 gameplays »,legacy_game_blocks,medium,Extracted from cached HTML data/raw/html/20070120035144_http_www.kongregate.com_80_games_4585fd31b56023ac.html
2007-01-20,The Fancy Pants Adventures,2,browse,page_order_browse_default,5623,1,visible_games_in_same_capture,,http://www.kongregate.com:80/games,20070120035144,https://web.archive.org/web/20070120035144/http://www.kongregate.com:80/games,http://www.kongregate.com/games/DrNeroCF/the-fancy-pants-adventures,DrNeroCF,Currently 4.5/5 Stars.,5623 gameplays »,legacy_game_blocks,medium,Extracted from cached HTML data/raw/html/20070120035144_http_www.kongregate.com_80_games_4585fd31b56023ac.html
2007-01-20,The Fancy Pants Adventures,1,most_played,page_order_most_played,5653,1,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/DrNeroCF/the-fancy-pants-adventures,DrNeroCF,Currently 4.5/5 Stars.,5653 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Gamma Bros,2,most_played,page_order_most_played,2774,2,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/pixeljamgames/gamma-bros,pixeljamgames,Currently 4.3/5 Stars.,2774 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Warbears,3,most_played,page_order_most_played,2346,3,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/ioji/warbears,ioji,Currently 4.6/5 Stars.,2346 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Warp Forest,4,most_played,page_order_most_played,1927,4,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/Arseniy/warp-forest,Arseniy,Currently 3.7/5 Stars.,1927 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Orbox B,5,most_played,page_order_most_played,1682,5,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/Arseniy/orbox-b,Arseniy,Currently 4.2/5 Stars.,1682 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Bowmaster Prelude,6,most_played,page_order_most_played,1625,6,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/DragonGamez/bowmaster-prelude,DragonGamez,Currently 4.1/5 Stars.,1625 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Micro Siege,7,most_played,page_order_most_played,1482,7,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/richpixel/micro-siege,richpixel,Currently 3.2/5 Stars.,1482 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Chaos Faction,8,most_played,page_order_most_played,1190,8,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/JorjEade/chaos-faction,JorjEade,Currently 4.1/5 Stars.,1190 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,QWERTY Warriors,9,most_played,page_order_most_played,1168,9,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/Weasel/qwerty-warriors,Weasel,Currently 4.2/5 Stars.,1168 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Pretty Pretty Bang Bang,10,most_played,page_order_most_played,1103,10,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/luvcraft/pretty-pretty-bang-bang,luvcraft,Currently 3.6/5 Stars.,1103 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,McDonald's Videogame,11,most_played,page_order_most_played,1023,11,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/molleindustria/mcdonalds-videogame,molleindustria,Currently 4.0/5 Stars.,1023 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Orbox,12,most_played,page_order_most_played,954,12,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/Arseniy/orbox,Arseniy,Currently 4.0/5 Stars.,954 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,rotaZion,13,most_played,page_order_most_played,935,13,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/pixtiz/rotazion,pixtiz,Currently 3.5/5 Stars.,935 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Hovercrafty,14,most_played,page_order_most_played,922,14,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/grapefrukt/hovercrafty,grapefrukt,Currently 3.1/5 Stars.,922 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-20,Prehistoric.,15,most_played,page_order_most_played,840,15,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games?,20070120114953,https://web.archive.org/web/20070120114953/http://www.kongregate.com:80/popular_games?,http://www.kongregate.com/games/TrueDarkness/prehistoric,TrueDarkness,Currently 3.6/5 Stars.,840 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070120114953_http_www.kongregate.com_80_popular_games_05d8e0ddd6402659.html
2007-01-22,The Fancy Pants Adventures,1,most_played,page_order_most_played,5857,1,visible_games_in_same_capture,,http://www.kongregate.com:80/popular_games,20070122004657,https://web.archive.org/web/20070122004657/http://www.kongregate.com:80/popular_games,http://www.kongregate.com/games/DrNeroCF/the-fancy-pants-adventures,DrNeroCF,Currently 4.5/5 Stars.,5857 gameplays,legacy_games_table,high,Extracted from cached HTML data/raw/html/20070122004657_http_www.kongregate.com_80_popular_games_21c7128d93023d46.html
