month,ranked_rows,ranked_rows_with_play_counts,ranked_play_count_rate,parsers,ranking_types,layout_hints,example_missing_game,example_missing_source_url,example_missing_html_path
2007-01,77,77,1.0,legacy_games_table:75; legacy_game_blocks:2,most_played:75; browse:2,,,,
2007-02,135,135,1.0,legacy_games_table:135,most_played:135,,,,
2007-03,75,75,1.0,legacy_games_table:75,most_played:75,,,,
2007-04,32,32,1.0,legacy_games_table:30; legacy_game_blocks:2,most_played:30; browse:2,,,,
2007-05,30,30,1.0,legacy_games_table:30,most_played:30,,,,
2007-06,15,15,1.0,legacy_games_table:15,most_played:15,,,,
2007-07,30,30,1.0,legacy_games_table:30,most_played:30,,,,
2007-08,2,2,1.0,legacy_game_blocks:2,browse:2,,,,
2007-09,45,45,1.0,legacy_games_table:45,most_played:45,,,,
2007-10,135,135,1.0,legacy_games_table:135,most_played:135,,,,
2007-11,15,15,1.0,legacy_games_table:15,most_played:15,,,,
2007-12,28,28,1.0,legacy_game_blocks:28,browse:28,,,,
2008-01,2,2,1.0,legacy_game_blocks:2,browse:2,,,,
2008-02,63,63,1.0,legacy_games_table:45; legacy_game_blocks:18,category_top:45; browse:18,,,,
2008-03,52,52,1.0,legacy_games_table:30; legacy_game_blocks:22,category_top:30; browse:22,,,,
2008-04,225,225,1.0,legacy_games_table:225,category_top:120; most_played:105,,,,
2008-05,135,135,1.0,legacy_games_table:135,category_top:90; most_played:45,,,,
2008-06,210,210,1.0,legacy_games_table:210,most_played:150; category_top:60,,,,
2008-07,225,225,1.0,legacy_games_table:225,category_top:225,,,,
2008-08,403,403,1.0,legacy_games_table:375; legacy_game_blocks:28,category_top:375; browse:28,,,,
2008-09,314,314,1.0,legacy_games_table:300; legacy_game_blocks:14,category_top:300; browse:14,,,,
2008-10,45,45,1.0,legacy_games_table:45,most_played:30; category_top:15,,,,
2008-11,190,190,1.0,legacy_games_table:180; legacy_game_blocks:10,category_top:120; most_played:60; browse:10,,,,
2008-12,45,45,1.0,legacy_games_table:45,most_played:45,,,,
2009-01,15,15,1.0,legacy_games_table:15,category_top:15,,,,
2009-02,60,60,1.0,legacy_games_table:60,most_played:60,,,,
2009-03,480,480,1.0,legacy_games_table:480,category_top:300; most_played:180,,,,
2009-04,60,60,1.0,legacy_games_table:60,most_played:60,,,,
2009-05,207,207,1.0,legacy_games_table:207,most_played:192; top_rated:15,,,,
2009-06,15,15,1.0,legacy_games_table:15,newest:15,,,,
2009-07,105,105,1.0,legacy_games_table:105,most_played:105,,,,
2009-08,180,180,1.0,legacy_games_table:180,most_played:180,,,,
2009-09,15,15,1.0,legacy_games_table:15,most_played:15,,,,
2009-10,90,90,1.0,game_listing:75; legacy_games_table:15,top_rated:60; most_played:15; newest:15,,,,
2009-11,2,2,1.0,legacy_game_blocks:2,oldest:2,,,,
2009-12,209,209,1.0,legacy_game_blocks:110; game_browser_game_row:99,top_rated:177; most_played:32,,,,
2010-01,219,219,1.0,game_browser_game_row:159; legacy_game_blocks:60,top_rated:172; most_played:26; browse:21,,,,
2010-02,176,176,1.0,game_browser_game_row:176,top_rated:104; browse:64; most_played:8,,,,
2010-03,224,224,1.0,game_browser_game_row:224,top_rated:136; browse:80; most_played:8,,,,
2010-04,24,24,1.0,game_browser_game_row:24,top_rated:24,,,,
2010-05,8,8,1.0,game_browser_game_row:8,category_top:8,,,,
2010-06,24,24,1.0,game_browser_game_row:24,most_played:8; top_rated:8; category_top:8,,,,
2010-07,24,24,1.0,game_browser_game_row:24,category_top:16; top_rated:8,,,,
2010-08,120,120,1.0,game_browser_game_row:120,category_top:80; top_rated:40,,,,
2010-09,104,104,1.0,game_browser_game_row:104,category_top:72; top_rated:32,,,,
2010-10,104,104,1.0,game_browser_game_row:104,category_top:56; top_rated:24; newest:24,,,,
2010-11,64,64,1.0,game_browser_game_row:64,top_rated:40; newest:24,,,,
2010-12,32,32,1.0,game_browser_game_row:32,top_rated:24; newest:8,,,,
2011-01,32,32,1.0,game_browser_game_row:32,top_rated:24; newest:8,,,,
2011-02,88,88,1.0,game_browser_game_row:88,category_top:56; newest:16; top_rated:16,,,,
2011-03,88,88,1.0,game_browser_game_row:88,newest:48; top_rated:32; category_top:8,,,,
2011-04,152,152,1.0,game_browser_game_row:152,category_top:80; top_rated:40; newest:32,,,,
2011-05,152,152,1.0,game_browser_game_row:152,category_top:96; top_rated:48; newest:8,,,,
2011-06,112,112,1.0,game_browser_game_row:112,newest:56; top_rated:56,,,,
2011-07,304,304,1.0,game_browser_game_row:304,category_top:160; top_rated:80; newest:56; most_played:8,,,,
