game_name,game_url,previous_date,previous_plays,previous_source,current_date,current_plays,drop,current_source,first_seen_date,first_seen_source,reason
Woodclicker,http://www.kongregate.com/games/Exception_e/woodclicker,2026-07-04,1500000,category_top,2026-07-04,1450408,49592,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
Feudalism II,http://www.kongregate.com/games/Vitaly/feudalism-ii,2026-07-04,4300000,category_top,2026-07-04,4251523,48477,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
Boxhead: More Rooms,http://kongregate.com/games/SeanCooper/boxhead-more-rooms,2026-05-21,1800000,category_top,2026-06-29,1751604,48396,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
Hands of War,http://www.kongregate.com/games/Djugan/hands-of-war,2026-07-04,3800000,category_top,2026-07-04,3752061,47939,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
Solipskier,https://www.kongregate.com/en/games/Mikengreg/solipskier,2026-07-01,2900000,category_top,2026-07-01,2852467,47533,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
Splitter 2,http://www.kongregate.com/games/CasualCollective/splitter-2,2026-06-26,3400000,category_top,2026-06-30,3353266,46734,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
The Tickler,https://www.kongregate.com/en/games/xpndsprt/the-tickler,2025-04-26,1245939,metrics_json,2025-12-03,1200000,45939,category_top,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
The Tickler,https://www.kongregate.com/en/games/xpndsprt/the-tickler,2025-04-26,1245939,metrics_json,2025-12-03,1200000,45939,category_top,2025-12-03,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
Battle without End,http://www.kongregate.com/games/CritGame/battle-without-end,2026-06-21,2500000,category_top,2026-06-30,2454085,45915,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
The Several Journeys of Reemus: Chapter 2,https://www.kongregate.com/en/games/zeebarf/the-several-journeys-of-reemus-chapter-2,2026-06-30,1645754,live_metrics_json,2026-07-01,1600000,45754,category_top,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
The Several Journeys of Reemus: Chapter 2,https://www.kongregate.com/en/games/zeebarf/the-several-journeys-of-reemus-chapter-2,2026-06-30,1645754,live_metrics_json,2026-07-01,1600000,45754,category_top,2026-07-01,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
The Several Journeys of Reemus: Chapter 2,https://www.kongregate.com/en/games/zeebarf/the-several-journeys-of-reemus-chapter-2,2026-06-30,1645754,live_metrics_json,2026-07-02,1600000,45754,category_top,2026-07-01,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
The Several Journeys of Reemus: Chapter 2,https://www.kongregate.com/en/games/zeebarf/the-several-journeys-of-reemus-chapter-2,2026-06-30,1645754,live_metrics_json,2026-07-02,1600000,45754,category_top,2026-07-01,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
The Several Journeys of Reemus: Chapter 2,https://www.kongregate.com/en/games/zeebarf/the-several-journeys-of-reemus-chapter-2,2026-06-30,1645754,live_metrics_json,2026-07-03,1600000,45754,category_top,2026-07-01,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
The Several Journeys of Reemus: Chapter 2,https://www.kongregate.com/en/games/zeebarf/the-several-journeys-of-reemus-chapter-2,2026-06-30,1645754,live_metrics_json,2026-07-03,1600000,45754,category_top,2026-07-01,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
The Several Journeys of Reemus: Chapter 2,https://www.kongregate.com/en/games/zeebarf/the-several-journeys-of-reemus-chapter-2,2026-06-30,1645754,live_metrics_json,2026-07-04,1600000,45754,category_top,2026-07-01,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
The Several Journeys of Reemus: Chapter 2,https://www.kongregate.com/en/games/zeebarf/the-several-journeys-of-reemus-chapter-2,2026-06-30,1645754,live_metrics_json,2026-07-04,1600000,45754,category_top,2026-07-01,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
Idle Evolution,http://www.kongregate.com/games/NewProject1/idle-evolution,2026-07-04,2700000,category_top,2026-07-04,2655849,44151,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
Frantic,http://www.kongregate.com/games/polymerrabbit/frantic,2026-07-04,2400000,category_top,2026-07-04,2356531,43469,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
The Tickler,https://www.kongregate.com/games/xpndsprt/the-tickler,2026-07-04,1300000,category_top,2026-07-04,1257027,42973,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
Decision,https://www.kongregate.com/en/games/FlyAnvil/decision,2026-07-04,1600000,category_top,2026-07-04,1557113,42887,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
Renegade Racing,https://www.kongregate.com/en/games/PaulGene/renegade-racing,2026-07-01,1742496,live_metrics_json,2026-07-02,1700000,42496,category_top,2026-07-01,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
Renegade Racing,https://www.kongregate.com/en/games/PaulGene/renegade-racing,2026-07-01,1742496,live_metrics_json,2026-07-03,1700000,42496,category_top,2026-07-01,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
Renegade Racing,https://www.kongregate.com/en/games/PaulGene/renegade-racing,2026-07-01,1742496,live_metrics_json,2026-07-04,1700000,42496,category_top,2026-07-01,category_top,Listing page repeated an older already-observed play count after a higher count was observed.
Dolphin Olympics 2,http://www.kongregate.com/games/arawkins/dolphin-olympics-2,2026-07-04,13100000,category_top,2026-07-04,13057617,42383,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
Cat God vs Sun King,https://www.kongregate.com/en/games/nerdook/cat-god-vs-sun-king,2026-07-04,1200000,category_top,2026-07-04,1157792,42208,live_metrics_json,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
Frantic,https://www.kongregate.com/en/games/polymerrabbit/frantic,2022-07-06,2342157,metrics_json,2025-11-22,2300000,42157,category_top,,,Small exact-vs-rounded listing difference; listing pages often round modern play counts.
